rosbagTimestamp,x,y,z,roll,pitch,yaw,front,back,up,left,right,zrange,deltaX,deltaY,outlierCount,accX,accY,accZ,gyroX,gyroY,gyroZ,ref_x,ref_y,ref_z,ref_roll,ref_pitch,ref_yaw
[nsec],[meter],[meter],[meter],[rad],[rad],[rad],[mm],[mm],[mm],[mm],[mm],[mm],[pixel],[pixel],[unitless],[m/s^2],[m/s^2],[m/s^2],[rad/s],[rad/s],[rad/s],[meter],[meter],[meter],[radian],[radian],[radian],
,world coord,world coord,world coord,world coord,world coord,world coord,world coord,LC,LC,LC,LC,LC,LC,LC,LC,LC,LC,LC,LC,LC,LC,LC,WC,WC,WC,LC,LC,
1551185461.31,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.10398953408,2.62456226349,0.235275432467,-3.1369779027,-3.1287286101,-0.0354667518251
1551185461.32,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.103977128863,2.62455582619,0.235272988677,-3.13670334107,-3.12885422881,-0.0350507251965
1551185461.33,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.103955693543,2.62456297874,0.23525723815,-3.1374985769,-3.12886246699,-0.0348153678991
1551185461.34,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.104004710913,2.62456727028,0.235288992524,-3.13650967618,-3.1284106244,-0.0355278193673
1551185461.35,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.103980861604,2.62457227707,0.235284328461,-3.13647719047,-3.12905607848,-0.0351723888336
1551185461.36,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.103972323239,2.62457108498,0.235280841589,-3.13722740989,-3.12856245186,-0.0350219467539
1551185461.37,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.103972323239,2.62457108498,0.235280841589,-3.13722740989,-3.12856245186,-0.0350219467539
1551185461.38,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.103962168097,2.624563694,0.235263898969,-3.13728617939,-3.12878766049,-0.0351655344533
1551185461.39,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.103962168097,2.624563694,0.235263898969,-3.13728617939,-3.12878766049,-0.0351655344533
1551185461.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.103985965252,2.62454891205,0.235280364752,-3.13684162871,-3.12873804038,-0.0354637635474
1551185461.41,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.103985965252,2.62454891205,0.235280364752,-3.13684162871,-3.12873804038,-0.0354637635474
1551185461.42,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.103964626789,2.62455320358,0.235261231661,-3.13712967059,-3.12861607823,-0.0353142092805
