rosbagTimestamp,header,seq,stamp,secs,nsecs,frame_id,values
1555499088518158716,,47,,1555499088,517916695,"""cf3/base_link""","[-8.964401786215603e-05, 0.0011385582620278, 0.05038656294345856]"
1555499088537916873,,48,,1555499088,537585988,"""cf3/base_link""","[-0.00027916074031963944, 0.0010836354922503233, 0.050194233655929565]"
1555499088557427022,,49,,1555499088,557070847,"""cf3/base_link""","[-0.0001273087691515684, 0.0011095847003161907, 0.04953934624791145]"
1555499088577205774,,50,,1555499088,576783671,"""cf3/base_link""","[-0.0002988612395711243, 0.0008742352365516126, 0.04896894097328186]"
1555499088596744749,,51,,1555499088,596470802,"""cf3/base_link""","[-0.0005050681065768003, 0.0010633564088493586, 0.04866055026650429]"
1555499088621013211,,52,,1555499088,620645195,"""cf3/base_link""","[-0.000373105431208387, 0.0010313729289919138, 0.048205744475126266]"
1555499088636774133,,53,,1555499088,636496120,"""cf3/base_link""","[-0.00015812138735782355, 0.0009994299616664648, 0.048667166382074356]"
1555499088656522964,,54,,1555499088,656200580,"""cf3/base_link""","[-0.00037092730053700507, 0.0009879047283902764, 0.047971468418836594]"
1555499088676135268,,55,,1555499088,675779736,"""cf3/base_link""","[7.496383318539301e-07, 0.0017495329957455397, 0.04779420047998428]"
1555499088697840621,,56,,1555499088,697544426,"""cf3/base_link""","[-0.0001082746748579666, 0.0010546320118010044, 0.049591537564992905]"
1555499088717387513,,57,,1555499088,717077780,"""cf3/base_link""","[0.0001252483925782144, 0.0017432906897738576, 0.05056946724653244]"
1555499088736752670,,58,,1555499088,736407624,"""cf3/base_link""","[-4.053693191963248e-05, 0.0010738468263298273, 0.0497213639318943]"
1555499088760830611,,59,,1555499088,760428023,"""cf3/base_link""","[-0.00023633841192349792, 0.0010709934867918491, 0.04943051561713219]"
1555499088776141963,,60,,1555499088,775846832,"""cf3/base_link""","[-0.00012980929750483483, 0.0017819188069552183, 0.04974408820271492]"
1555499088795874503,,61,,1555499088,795647035,"""cf3/base_link""","[5.9188158047618344e-05, 0.0015005747554823756, 0.0510299913585186]"
1555499088816585743,,62,,1555499088,816463082,"""cf3/base_link""","[-5.0437782192602754e-05, 0.001007053186185658, 0.05155818536877632]"
1555499088835744200,,63,,1555499088,835481754,"""cf3/base_link""","[-9.538023732602596e-05, 0.0009528406080789864, 0.05020070821046829]"
1555499088856574342,,64,,1555499088,856366521,"""cf3/base_link""","[-0.00011655184789560735, 0.0009801220148801804, 0.049688342958688736]"
1555499088879940783,,65,,1555499088,879805387,"""cf3/base_link""","[-0.0001422485802322626, 0.001575558795593679, 0.049781810492277145]"
