rosbagTimestamp,header,seq,stamp,secs,nsecs,frame_id,values
1555426868088741112,,19,,1555426868,88605084,"""cf3/base_link""","[0.4995054602622986, 0.5002433061599731, 0.06367899477481842]"
1555426868108929300,,20,,1555426868,108773304,"""cf3/base_link""","[0.4988028109073639, 0.5000031590461731, 0.06187143921852112]"
1555426868135015073,,21,,1555426868,134901410,"""cf3/base_link""","[0.4992550313472748, 0.5002073645591736, 0.06269374489784241]"
1555426868148429044,,22,,1555426868,148175114,"""cf3/base_link""","[0.4992385506629944, 0.4999831020832062, 0.06178119033575058]"
1555426868166178987,,23,,1555426868,165888931,"""cf3/base_link""","[0.49833405017852783, 0.5002057552337646, 0.06190783530473709]"
1555426868188058754,,24,,1555426868,187653794,"""cf3/base_link""","[0.4985758364200592, 0.5008893609046936, 0.06407316029071808]"
1555426868213492626,,25,,1555426868,213246100,"""cf3/base_link""","[0.4994741678237915, 0.5002140998840332, 0.06364711374044418]"
1555426868226886052,,26,,1555426868,226558382,"""cf3/base_link""","[0.4987976849079132, 0.4997362494468689, 0.06414008885622025]"
1555426868247465749,,27,,1555426868,247159223,"""cf3/base_link""","[0.49948573112487793, 0.5001965761184692, 0.06384087353944778]"
1555426868270080664,,28,,1555426868,269691667,"""cf3/base_link""","[0.0, 0.0, 0.0]"
1555426868289702896,,29,,1555426868,289437112,"""cf3/base_link""","[-4.850842015002854e-05, 0.00021229370031505823, 0.13509847223758698]"
1555426868308416737,,30,,1555426868,308053469,"""cf3/base_link""","[-0.0006039723521098495, 0.0007199072861112654, 0.058909978717565536]"
1555426868329582478,,31,,1555426868,329250874,"""cf3/base_link""","[0.00022790950606577098, -0.00010836671572178602, 0.0647156685590744]"
1555426868348960352,,32,,1555426868,348713962,"""cf3/base_link""","[-0.0006010003853589296, -0.00010658077371772379, 0.062360506504774094]"
1555426868368607771,,33,,1555426868,368298868,"""cf3/base_link""","[-0.0003172682481817901, -0.0006441391888074577, 0.06165795773267746]"
1555426868396451022,,34,,1555426868,396102458,"""cf3/base_link""","[-5.462704211822711e-05, 0.00016240030527114868, 0.06218777969479561]"
1555426868410558528,,35,,1555426868,410214196,"""cf3/base_link""","[-6.162357749417424e-05, -0.00011347154213581234, 0.0625002309679985]"
1555426868428539618,,36,,1555426868,428119884,"""cf3/base_link""","[-6.320627289824188e-05, 0.0001488920534029603, 0.06264661252498627]"
1555426868448007145,,37,,1555426868,447653266,"""cf3/base_link""","[-7.949583232402802e-05, 0.001434178790077567, 0.06126929447054863]"
1555426868467659477,,38,,1555426868,467288977,"""cf3/base_link""","[0.0002295251761097461, -9.56106377998367e-05, 0.06655236333608627]"
1555426868487321169,,39,,1555426868,487070239,"""cf3/base_link""","[-2.1516389097087085e-05, 0.0001601078693056479, 0.06781934946775436]"
1555426868510572593,,40,,1555426868,510201360,"""cf3/base_link""","[-2.822262467816472e-05, 0.00016130357107613236, 0.0670667439699173]"
1555426868532978386,,41,,1555426868,532653638,"""cf3/base_link""","[-0.00030791026074439287, 0.00016732684161979705, 0.06562813371419907]"
1555426868548785152,,42,,1555426868,548410827,"""cf3/base_link""","[-5.0411486881785095e-05, 0.00016069458797574043, 0.06593462824821472]"
1555426868568596238,,43,,1555426868,568256643,"""cf3/base_link""","[-2.2345513571053743e-05, 0.00040636336780153215, 0.06948287785053253]"
1555426868588325321,,44,,1555426868,587970760,"""cf3/base_link""","[-0.00022660204558633268, 0.00015235671889968216, 0.07193588465452194]"
1555426868607796442,,45,,1555426868,607434726,"""cf3/base_link""","[-0.001034075627103448, -9.2573172878474e-05, 0.06795752793550491]"
1555426868627205968,,46,,1555426868,626846869,"""cf3/base_link""","[-7.959654612932354e-05, -8.38976411614567e-05, 0.0658814013004303]"
1555426868655187871,,47,,1555426868,654816598,"""cf3/base_link""","[-6.948767259018496e-05, 0.00016378669533878565, 0.06634601950645447]"
1555426868669337225,,48,,1555426868,669051880,"""cf3/base_link""","[-0.0010823896154761314, -8.112261275527999e-05, 0.06505872309207916]"
1555426868687307888,,49,,1555426868,686970447,"""cf3/base_link""","[0.00014467290020547807, 0.00016150774899870157, 0.06495162844657898]"
1555426868706929248,,50,,1555426868,706578762,"""cf3/base_link""","[-9.993551793741062e-05, 0.0009018534328788519, 0.06507281213998795]"
1555426868726296766,,51,,1555426868,725949245,"""cf3/base_link""","[7.457553874701262e-05, 0.000157646180014126, 0.06231061741709709]"
1555426868747698144,,52,,1555426868,747302575,"""cf3/base_link""","[-0.00011729582183761522, 0.00040180428186431527, 0.06435273587703705]"
1555426868767322135,,53,,1555426868,767048273,"""cf3/base_link""","[-0.0001452721917303279, 0.0006529538659378886, 0.06306034326553345]"
1555426868795169295,,54,,1555426868,794846843,"""cf3/base_link""","[-0.00020000853692181408, 0.0001504382089478895, 0.06090333312749863]"
1555426868809745476,,55,,1555426868,809053917,"""cf3/base_link""","[-0.00020852360466960818, 0.0004055023018736392, 0.06048097088932991]"
1555426868826878543,,56,,1555426868,826596180,"""cf3/base_link""","[-0.00017271871911361814, 0.00015420501586049795, 0.06348279118537903]"
1555426868846945906,,57,,1555426868,846561670,"""cf3/base_link""","[-0.00016989800496958196, 0.00015458989946637303, 0.06361331790685654]"
1555426868866396317,,58,,1555426868,866036917,"""cf3/base_link""","[-0.00022282949066720903, 0.00015362771227955818, 0.0611809641122818]"
1555426868886154053,,59,,1555426868,885797611,"""cf3/base_link""","[-0.00023089289607014507, 0.0008953196229413152, 0.06086114048957825]"
1555426868907174616,,60,,1555426868,906905795,"""cf3/base_link""","[-0.00022637128131464124, 0.0003900705196429044, 0.06102627515792847]"
1555426868930478903,,61,,1555426868,930328410,"""cf3/base_link""","[-0.00021115329582244158, 0.0011436471249908209, 0.0617344044148922]"
1555426868945524487,,62,,1555426868,945404867,"""cf3/base_link""","[-0.00020429192227311432, 0.0003845065366476774, 0.062069330364465714]"
1555426868965755949,,63,,1555426868,965642440,"""cf3/base_link""","[-0.0002092150243697688, 0.00013717514229938388, 0.061932794749736786]"
1555426868986288644,,64,,1555426868,986165358,"""cf3/base_link""","[4.524272299022414e-05, 0.0001397977175656706, 0.06190967187285423]"
1555426869005070347,,65,,1555426869,4886286,"""cf3/base_link""","[0.00013315367687027901, 0.00012647744733840227, 0.0664215236902237]"
1555426869025547576,,66,,1555426869,25336882,"""cf3/base_link""","[9.460475121159106e-05, 0.0006290637538768351, 0.06486479938030243]"
1555426869054328568,,67,,1555426869,54109839,"""cf3/base_link""","[9.751644392963499e-05, 0.00037548207910731435, 0.0651562288403511]"
1555426869068320130,,68,,1555426869,67925745,"""cf3/base_link""","[6.46328044240363e-05, 0.0006273011676967144, 0.06365402787923813]"
1555426869085773255,,69,,1555426869,85505493,"""cf3/base_link""","[-0.0004228781326673925, 0.0006190136773511767, 0.06437470763921738]"
1555426869105858792,,70,,1555426869,105311968,"""cf3/base_link""","[-0.0001612050546100363, 0.0011229384690523148, 0.06503310054540634]"
1555426869127000368,,71,,1555426869,126718651,"""cf3/base_link""","[-0.0006995488656684756, -0.00015799951506778598, 0.06403564661741257]"
1555426869146341415,,72,,1555426869,146159037,"""cf3/base_link""","[-0.00066885951673612, 0.00010667298192856833, 0.06524622440338135]"
1555426869165534907,,73,,1555426869,165344697,"""cf3/base_link""","[-0.0002255389845231548, 0.00013639692042488605, 0.06369858980178833]"
1555426869190833004,,74,,1555426869,190581445,"""cf3/base_link""","[-0.0006150137633085251, -6.968257366679609e-05, 0.06222320720553398]"
1555426869206259613,,75,,1555426869,206049907,"""cf3/base_link""","[-0.0002478756941854954, 0.00011943973368033767, 0.0626869723200798]"
1555426869225566259,,76,,1555426869,225313274,"""cf3/base_link""","[-0.0002542469301261008, 0.00012260308722034097, 0.061674945056438446]"
1555426869244796897,,77,,1555426869,244509701,"""cf3/base_link""","[-0.000987368286587298, -6.272467726375908e-05, 0.06148441135883331]"
1555426869265418495,,78,,1555426869,265189706,"""cf3/base_link""","[-0.0002814960607793182, 0.0001517673081252724, 0.06282341480255127]"
1555426869284067094,,79,,1555426869,283893849,"""cf3/base_link""","[-0.0002788146666716784, 0.0005350890569388866, 0.06142425537109375]"
1555426869312969456,,80,,1555426869,312732868,"""cf3/base_link""","[-0.0002670785179361701, 0.0001925289398059249, 0.06128433719277382]"
1555426869326503519,,81,,1555426869,326235626,"""cf3/base_link""","[-0.00025910898693837225, 0.0005329863633960485, 0.0612652488052845]"
1555426869346012145,,82,,1555426869,345718093,"""cf3/base_link""","[-0.0010065383976325393, 0.00017540300905238837, 0.061198070645332336]"
1555426869365232944,,83,,1555426869,365014449,"""cf3/base_link""","[-0.0007854345021769404, 0.0010853426065295935, 0.06441675871610641]"
1555426869386376878,,84,,1555426869,386196436,"""cf3/base_link""","[-0.0002417684008833021, 0.00019943401275668293, 0.0651865303516388]"
1555426869405734016,,85,,1555426869,405466871,"""cf3/base_link""","[-0.0002018849045271054, 0.00034902640618383884, 0.0657079741358757]"
1555426869433009271,,86,,1555426869,432705288,"""cf3/base_link""","[-0.00024202374333981425, 0.0003511902177706361, 0.06298349052667618]"
1555426869446448227,,87,,1555426869,446155529,"""cf3/base_link""","[-0.00023749608953949064, 0.00016468047397211194, 0.06295853108167648]"
1555426869463789074,,88,,1555426869,463631803,"""cf3/base_link""","[-6.499033042928204e-05, 0.0003278362564742565, 0.06118803843855858]"
1555426869485165795,,89,,1555426869,484937115,"""cf3/base_link""","[-0.0002737246686592698, 0.0003513131523504853, 0.061312317848205566]"
1555426869504405221,,90,,1555426869,504190203,"""cf3/base_link""","[-6.604247028008103e-05, 0.00013488144031725824, 0.06137417256832123]"
1555426869523616459,,91,,1555426869,523389265,"""cf3/base_link""","[-8.271665137726814e-05, 0.00012312592298258096, 0.06019829586148262]"
1555426869544565201,,92,,1555426869,544346138,"""cf3/base_link""","[-0.0002973585214931518, 0.001097504049539566, 0.0597919262945652]"
1555426869573654471,,93,,1555426869,573366588,"""cf3/base_link""","[-0.00023435874027200043, 0.00019837684521917254, 0.060846175998449326]"
1555426869587265608,,94,,1555426869,587099812,"""cf3/base_link""","[-0.00025626583374105394, 0.0005198855651542544, 0.06071436405181885]"
1555426869604794741,,95,,1555426869,604530707,"""cf3/base_link""","[-0.00024674038286320865, 0.00016065988165792078, 0.06094375625252724]"
1555426869623859607,,96,,1555426869,623572726,"""cf3/base_link""","[-0.0002529547782614827, 0.0006707220454700291, 0.06133640184998512]"
1555426869643147424,,97,,1555426869,642952394,"""cf3/base_link""","[-0.0002627195499371737, -1.9745905319723533e-06, 0.061267927289009094]"
1555426869663969808,,98,,1555426869,663830058,"""cf3/base_link""","[-0.0002341123908990994, 5.265599156700773e-06, 0.06296972930431366]"
