rosbagTimestamp,header,seq,stamp,secs,nsecs,frame_id,pose,position,x,y,z,orientation,x,y,z,w
1555426869125145425,,0,,1555426869,124741649,"""world""",,,0.155151322484,-0.0465792864561,0.0809772089124,,-0.00491100270301,0.00315829529427,-0.019155189395,-0.99979954958
1555426869125383810,,1,,1555426869,124999647,"""world""",,,0.155150637031,-0.0466660410166,0.0809113308787,,-0.00593177834526,0.0034360953141,-0.0192176327109,-0.999791800976
1555426869134671720,,2,,1555426869,134313078,"""world""",,,0.155146300793,-0.0465802960098,0.0809713453054,,-0.00478671491146,0.00312852533534,-0.0190949756652,-0.999801337719
1555426869144834985,,3,,1555426869,144620184,"""world""",,,0.155157402158,-0.0465743727982,0.0809708759189,,-0.0047919084318,0.00313912145793,-0.0192678011954,-0.999797940254
1555426869154172141,,4,,1555426869,153948008,"""world""",,,0.155157610774,-0.046597506851,0.0809716433287,,-0.00491131702438,0.00303162378259,-0.0192000772804,-0.999799013138
1555426869164378295,,5,,1555426869,164177548,"""world""",,,0.155153408647,-0.046592283994,0.0809679850936,,-0.00486760679632,0.00320240925066,-0.0192735344172,-0.999797344208
1555426869174871659,,6,,1555426869,174634962,"""world""",,,0.15515846014,-0.0465843752027,0.08098179847,,-0.00480297626927,0.0031736374367,-0.0193664822727,-0.999795973301
1555426869174888878,,7,,1555426869,174675434,"""world""",,,0.155150532722,-0.0465783700347,0.0809773355722,,-0.00485799415037,0.00310126272961,-0.0190648809075,-0.999801635742
1555426869184070823,,8,,1555426869,183942781,"""world""",,,0.155162647367,-0.0466797538102,0.0809217020869,,-0.00600105617195,0.00357208936475,-0.0192151386291,-0.999790966511
1555426869194608069,,9,,1555426869,194343480,"""world""",,,0.155165821314,-0.0466821193695,0.080925039947,,-0.0059373928234,0.00353884883225,-0.0192136578262,-0.999791502953
1555426869204879929,,10,,1555426869,204701548,"""world""",,,0.155141711235,-0.0466015823185,0.080973342061,,-0.00490178680047,0.00332480738871,-0.0191729404032,-0.999798715115
1555426869214075874,,11,,1555426869,213939428,"""world""",,,0.155154004693,-0.0465766601264,0.0809690058231,,-0.00504623120651,0.00336338905618,-0.0191316287965,-0.999798595905
1555426869224511540,,12,,1555426869,224273393,"""world""",,,0.15517115593,-0.0466724969447,0.0808932334185,,-0.00585181033239,0.00344648002647,-0.019121536985,-0.999794185162
1555426869224530672,,13,,1555426869,224310667,"""world""",,,0.155155450106,-0.0466514602304,0.0809170454741,,-0.00591425877064,0.00349203776568,-0.0192326363176,-0.999791443348
1555426869234764485,,14,,1555426869,234566118,"""world""",,,0.155130460858,-0.0465760417283,0.0809788182378,,-0.00502972491086,0.00321531994268,-0.019161824137,-0.999798595905
1555426869244267526,,15,,1555426869,243983184,"""world""",,,0.155157014728,-0.0466816313565,0.0808901786804,,-0.00600403454155,0.00342602911405,-0.0191374476999,-0.999792993069
1555426869254457244,,16,,1555426869,254276821,"""world""",,,0.15516769886,-0.0466742105782,0.0808955654502,,-0.00601505488157,0.00358681892976,-0.0191763397306,-0.999791622162
1555426869264772051,,17,,1555426869,264613485,"""world""",,,0.155135169625,-0.0465822592378,0.0809697583318,,-0.00509621948004,0.00331759569235,-0.0190747957677,-0.99979954958
1555426869274205961,,18,,1555426869,273951531,"""world""",,,0.155150532722,-0.0466721989214,0.0808930248022,,-0.0059757148847,0.00357796042226,-0.0190445706248,-0.99979442358
1555426869274234678,,19,,1555426869,273991015,"""world""",,,0.155157268047,-0.0466491989791,0.0809081345797,,-0.00602826569229,0.00340250437148,-0.0191938132048,-0.99979186058
1555426869284421715,,20,,1555426869,284276921,"""world""",,,0.1551425457,-0.046579644084,0.0809785425663,,-0.00498241512105,0.00324439769611,-0.0192918982357,-0.999796271324
1555426869295019542,,21,,1555426869,294709153,"""world""",,,0.155127078295,-0.0465890094638,0.0809604749084,,-0.00514401309192,0.00329542835243,-0.0190375018865,-0.999800145626
1555426869304350645,,22,,1555426869,304115328,"""world""",,,0.155155524611,-0.0466968305409,0.0809010267258,,-0.00599056156352,0.00359576707706,-0.0191711708903,-0.99979186058
1555426869314796183,,23,,1555426869,314519638,"""world""",,,0.155161902308,-0.0466644205153,0.0809109956026,,-0.00593035900965,0.00358505290933,-0.0192341636866,-0.999791026115
1555426869324180934,,24,,1555426869,323919128,"""world""",,,0.155150488019,-0.0465709976852,0.0809821933508,,-0.00478877173737,0.003206145484,-0.0191139318049,-0.999800682068
1555426869334568959,,25,,1555426869,334288008,"""world""",,,0.155184209347,-0.0466767214239,0.0808990821242,,-0.00583503395319,0.00345409102738,-0.0191641990095,-0.999793410301
1555426869334594324,,26,,1555426869,334348503,"""world""",,,0.155158728361,-0.0466706007719,0.080904789269,,-0.00574571825564,0.00331246480346,-0.0191484279931,-0.999794721603
1555426869343922305,,27,,1555426869,343719272,"""world""",,,0.155148178339,-0.0465683862567,0.0809889137745,,-0.00478976918384,0.00297260493971,-0.0191675852984,-0.999800384045
1555426869354219542,,28,,1555426869,354011347,"""world""",,,0.155170157552,-0.0466620437801,0.0809049457312,,-0.00593084376305,0.00349644012749,-0.0191070027649,-0.999793767929
1555426869364533641,,29,,1555426869,364320391,"""world""",,,0.155171811581,-0.0466589555144,0.0809178799391,,-0.00584611203521,0.00349102262408,-0.0192289333791,-0.999791920185
1555426869375037007,,30,,1555426869,374782156,"""world""",,,0.15514947474,-0.046578861773,0.0809743106365,,-0.00485769333318,0.00316991726868,-0.0191738903522,-0.99979943037
