rosbagTimestamp,x,y,z,roll,pitch,yaw,front,back,up,left,right,zrange,deltaX,deltaY,outlierCount,accX,accY,accZ,gyroX,gyroY,gyroZ,ref_x,ref_y,ref_z,ref_roll,ref_pitch,ref_yaw
1555425765392929519,-0.000509507255629,-7.93762810645e-05,0.0565109290183,-0.000953679741859,-0.00215635087159,-6.4268957695e-05,0.932,0.878,3.637,1.117,0.881,0.051,1.0,-2.0,0.0,0.00584127079288,0.0396645965148,9.80818502426,-0.000293811361724,0.000905588683181,-0.000119501226595,-0.0827155560255,0.159767091274,-0.0469042807817,0.000594916277854,-0.00179179562343,-0.0791887057163
1555425765413381706,-0.000538038439117,-0.000334646756528,0.0539260692894,0.00115842539999,-0.00154555604591,-0.000122278861024,0.932,0.878,3.637,1.117,0.881,0.051,-2.0,-2.0,0.0,0.0241929164319,0.029446783592,9.7794342649,0.00142850010314,0.000629908012927,-0.000297933572288,-0.0827335342765,0.159755632281,-0.0469049140811,0.000599839071281,-0.00203770107128,-0.0789825733844
1555425765433378746,-0.000513481383678,-0.000325732922647,0.0551998242736,0.00188473080679,-0.00115471661007,-0.00014932284415,0.932,0.878,3.637,1.118,0.88,0.051,-2.0,-2.0,0.0,0.00198416412401,0.0223776688892,9.78584632158,0.000509876949914,0.00028168409594,-0.00131650741737,-0.0827415660024,0.159709766507,-0.0469198040664,0.000858583807755,-0.00168404943288,-0.0798447441314
1555425765452985188,-0.000511922175065,-0.000324280874338,0.0551366880536,0.00144206375943,-0.00174373983376,-0.000154566105092,0.932,0.878,3.637,1.118,0.88,0.051,-1.0,0.0,0.0,-0.00617230085714,0.0406404465577,9.79950717151,-0.000822449228216,0.00142768451006,0.000220294217916,-0.0827420800924,0.159764677286,-0.0469133518636,0.000681570289551,-0.00201115211818,-0.078857743185
1555425765473113671,-0.000507840828504,-7.05494749127e-05,0.0550964325666,-4.85201772506e-05,-0.00204877775886,-9.68858297154e-05,0.932,0.878,3.637,1.118,0.88,0.051,0.0,-2.0,0.0,0.00972177032148,0.0366111096949,9.79695661604,-0.00250896432304,-0.000637279754657,0.000631335430861,-0.0827364698052,0.159770533442,-0.0469123795629,0.000461337019342,-0.00190818249357,-0.0790506767292
1555425765492799584,-0.000252657104284,0.000434602989117,0.0556346438825,-0.00284530804485,-0.00290792197894,-1.02789673349e-05,0.929,0.876,3.38,1.118,0.88,0.051,3.0,1.0,0.0,0.0063173774723,0.0267154760705,9.7861533004,0.000137027944208,0.000491873564826,-0.00083490236713,-0.0827373042703,0.159767195582,-0.0468954741955,0.000255874587699,-0.00230904056608,-0.0790156142605
1555425765512995602,-0.00050406542141,0.000432469183579,0.0544385202229,-0.00219067834185,-0.00132019579145,-1.59737860072e-07,0.929,0.876,3.38,1.115,0.881,0.051,1.0,-2.0,0.0,0.00704733725055,0.0363540012273,9.7872134006,-0.00180974890813,4.92153234126e-05,-0.0014117705621,-0.082742549479,0.159754112363,-0.0469270125031,0.000418023154223,-0.00215315673415,-0.0788342081469
1555425765533203539,-8.62470187712e-07,-0.000556884508114,0.0548053607345,0.00534543296172,-0.00391689384743,-0.000301009666388,0.929,0.876,3.38,1.115,0.881,0.051,-2.0,1.0,0.0,0.000447786405603,0.0324009865173,9.77678138316,-0.000327430779632,0.0013625460345,0.00196993648725,-0.0827633515,0.159771978855,-0.0469283051789,0.000669076912414,-0.0015458961847,-0.0790299802424
1555425765553051393,-0.000486652686959,-4.58954709757e-05,0.0560747534037,0.00128722330843,-0.000316675731006,-7.21036073412e-05,0.929,0.876,3.38,1.115,0.881,0.051,-2.0,1.0,0.0,-0.00296454404597,0.020938831286,9.8079312551,-0.00143508076379,-0.00057740947466,-0.00174873807218,-0.0827483013272,0.159773156047,-0.046946298331,0.000614311047459,-0.00211695466749,-0.0790117324881
1555425765573151854,-0.000224201154197,-0.000553846999537,0.0563206858933,0.00434019263965,-0.00244302195773,-0.000253823227486,0.929,0.876,3.38,1.115,0.881,0.051,-1.0,0.0,0.0,0.013225574973,0.0281342389947,9.79756238759,-0.000747416159931,0.000481100733618,-0.00228112829104,-0.0827631279826,0.159755915403,-0.0469388253987,0.000782663939939,-0.00178233176367,-0.0787292701518
1555425765592973696,0.000290193682304,-3.64392835763e-05,0.0568103343248,0.000546883575833,-0.00488190093147,-0.000227777661568,0.93,0.876,3.63,1.115,0.881,0.051,-1.0,2.0,0.0,0.0115496761724,0.0255452198116,9.79164559007,-0.000849285777685,-0.00150553567872,-9.95183589264e-05,-0.0827473402023,0.159759372473,-0.0469307638705,0.000391256733927,-0.00206223313651,-0.0788312896257
1555425765612898412,-0.000244738883339,0.000209350109799,0.0539555363357,7.21795571715e-05,-0.00117973458982,-0.000119525202196,0.93,0.876,3.63,1.116,0.879,0.051,3.0,-2.0,0.0,0.0152816809772,0.0333663595375,9.79512994587,0.000673826569169,-0.00110382890716,0.000404183751939,-0.0827292650938,0.159762784839,-0.0469371005893,0.000840651991257,-0.00149066828248,-0.0787711597862
1555425765632958574,-0.0004820486065,0.00021464843303,0.0564185976982,-0.000287829782282,0.000863725104221,-4.4591291311e-05,0.93,0.876,3.63,1.116,0.879,0.051,1.0,0.0,0.0,-0.00271575272869,0.0319766271254,9.79058607459,-0.00119897020706,0.000930037425252,-0.00246482632908,-0.0827440917492,0.159774795175,-0.0469506345689,0.000660984503156,-0.00166417645413,-0.0788936973568
1555425765652940135,-0.000469138583867,-0.000296455982607,0.0569649152458,0.00305653495022,-0.000202093647726,-0.000205759882979,0.93,0.876,3.63,1.116,0.879,0.051,-1.0,0.0,0.0,0.019872164391,0.0278922464931,9.7950410682,0.000806156286947,-0.000316541857747,-0.000219416564597,-0.0827237293124,0.15975561738,-0.0469132214785,0.000895010153216,-0.00190772525418,-0.0789645773207
1555425765673015054,-0.000464042444946,-0.000293206598144,0.0573858805001,0.00281898904329,-0.000699473863767,-0.000206597858709,0.93,0.876,3.63,1.116,0.879,0.051,-1.0,0.0,0.0,0.00576672678755,0.0169461194635,9.78651524305,-0.00154989447577,-0.00133344553803,0.000972932524005,-0.0827212929726,0.159740537405,-0.0469210334122,0.000656285663879,-0.001938482073,-0.07895383632
1555425765693258559,-0.000462636176962,-3.95297902287e-05,0.0576689876616,0.00138023212891,-0.00091603151258,-0.00015604882133,0.93,0.876,3.63,1.116,0.879,0.051,-1.0,0.0,0.0,0.00533426294918,0.0313847884024,9.80288276911,-0.000275164650284,-0.00212811421199,-0.000777708577033,-0.0827442258596,0.159744769335,-0.0469357147813,0.000415565044556,-0.00188208644391,-0.0787735135766
1555425765713253155,0.000281640037429,-0.00028627293068,0.0544729791582,0.00333620119449,-0.00495479248274,-0.000293885645453,0.932,0.877,3.765,1.119,0.881,0.052,0.0,1.0,0.0,0.00117802808789,0.0409180065757,9.79100064218,7.71214092416e-06,0.000874127817154,0.0001912187536,-0.0827458947897,0.159738108516,-0.0469321683049,0.000240731835413,-0.00206606250327,-0.0790789936332
1555425765733581466,-0.000451883737696,-4.10289976571e-05,0.0554270744324,0.00132757279969,0.000738251075692,-0.00011890841968,0.932,0.877,3.765,1.119,0.881,0.052,2.0,-2.0,0.0,-0.00107122318368,0.0248081531539,9.79541821361,0.000493883256664,-0.000678002907701,0.00042994411385,-0.0827359482646,0.159757852554,-0.0469489991665,0.000321446995054,-0.00223327967762,-0.0792013571349
1555425765753335092,-0.000443246448413,-4.84852353111e-05,0.0571597367525,0.000869866499336,0.000868526791468,-9.0922991879e-05,0.932,0.877,3.765,1.119,0.881,0.052,1.0,-2.0,0.0,0.004875906909,0.0268220278714,9.77045177221,0.0013491957692,-6.90591772903e-05,0.000618104799752,-0.0827440172434,0.159754037857,-0.0469348318875,0.000818710880963,-0.00200255194081,-0.0790712781272
