rosbagTimestamp,header,seq,stamp,secs,nsecs,frame_id,values
1555425765379319517,,51,,1555425765,379060924,"""cf6/base_link""","[-0.000509507255628705, -7.937628106446937e-05, 0.05651092901825905]"
1555425765398316244,,52,,1555425765,398087495,"""cf6/base_link""","[-0.000538038439117372, -0.0003346467565279454, 0.05392606928944588]"
1555425765428296604,,53,,1555425765,427998877,"""cf6/base_link""","[-0.000513481383677572, -0.00032573292264714837, 0.05519982427358627]"
1555425765442355401,,54,,1555425765,441935159,"""cf6/base_link""","[-0.000511922175064683, -0.000324280874338001, 0.05513668805360794]"
1555425765458185426,,55,,1555425765,457901046,"""cf6/base_link""","[-0.0005078408285044134, -7.054947491269559e-05, 0.05509643256664276]"
1555425765477962551,,56,,1555425765,477665391,"""cf6/base_link""","[-0.00025265710428357124, 0.0004346029891166836, 0.055634643882513046]"
1555425765498769236,,57,,1555425765,498413342,"""cf6/base_link""","[-0.000504065421409905, 0.00043246918357908726, 0.0544385202229023]"
1555425765518057092,,58,,1555425765,517831953,"""cf6/base_link""","[-8.624701877124608e-07, -0.0005568845081143081, 0.05480536073446274]"
1555425765539544120,,59,,1555425765,539288388,"""cf6/base_link""","[-0.00048665268695913255, -4.5895470975665376e-05, 0.056074753403663635]"
1555425765563668466,,60,,1555425765,563409284,"""cf6/base_link""","[-0.0002242011541966349, -0.0005538469995371997, 0.056320685893297195]"
1555425765579248738,,61,,1555425765,579005192,"""cf6/base_link""","[0.00029019368230365217, -3.643928357632831e-05, 0.05681033432483673]"
1555425765598302085,,62,,1555425765,598051092,"""cf6/base_link""","[-0.0002447388833388686, 0.00020935010979883373, 0.05395553633570671]"
1555425765618776967,,63,,1555425765,618584662,"""cf6/base_link""","[-0.00048204860650002956, 0.00021464843302965164, 0.05641859769821167]"
1555425765638040097,,64,,1555425765,637801021,"""cf6/base_link""","[-0.00046913858386687934, -0.000296455982606858, 0.05696491524577141]"
1555425765659224542,,65,,1555425765,658923874,"""cf6/base_link""","[-0.00046404244494624436, -0.0002932065981440246, 0.0573858805000782]"
1555425765687280964,,66,,1555425765,686912907,"""cf6/base_link""","[-0.00046263617696240544, -3.95297902286984e-05, 0.05766898766160011]"
1555425765701269026,,67,,1555425765,700860605,"""cf6/base_link""","[0.0002816400374285877, -0.00028627293067984283, 0.05447297915816307]"
1555425765719031634,,68,,1555425765,718666917,"""cf6/base_link""","[-0.0004518837376963347, -4.102899765712209e-05, 0.05542707443237305]"
1555425765739197237,,69,,1555425765,738628316,"""cf6/base_link""","[-0.0004432464484125376, -4.8485235311090946e-05, 0.05715973675251007]"
1555425765758508517,,70,,1555425765,758129563,"""cf6/base_link""","[4.494307722779922e-05, -0.000534702034201473, 0.058156818151474]"
1555425765778201250,,71,,1555425765,777816897,"""cf6/base_link""","[4.8636331484885886e-05, -5.50748263776768e-05, 0.0593300499022007]"
1555425765799706619,,72,,1555425765,799348418,"""cf6/base_link""","[0.00028180694789625704, -0.00028398100403137505, 0.05520066246390343]"
1555425765824159628,,73,,1555425765,823834558,"""cf6/base_link""","[-0.00018943262693937868, -4.3602496589301154e-05, 0.05599147081375122]"
1555425765838236265,,74,,1555425765,837901423,"""cf6/base_link""","[-0.0004328609211370349, 0.00019622789113782346, 0.05583010986447334]"
1555425765857939692,,75,,1555425765,857588804,"""cf6/base_link""","[-0.000431573367677629, -0.0005285369697958231, 0.05756230652332306]"
1555425765881683425,,76,,1555425765,881276694,"""cf6/base_link""","[-0.00043585000094026327, -5.009083542972803e-05, 0.05807531625032425]"
1555425765897790913,,77,,1555425765,897514985,"""cf6/base_link""","[-0.0004325665649957955, -3.625679528340697e-05, 0.05445335805416107]"
1555425765919952718,,78,,1555425765,918882982,"""cf6/base_link""","[-0.00042668517562560737, -3.570599801605567e-05, 0.0543576180934906]"
1555425765946766798,,79,,1555425765,946428424,"""cf6/base_link""","[-0.0004279855056665838, -3.7213758332654834e-05, 0.05429752543568611]"
1555425765960877087,,80,,1555425765,960428557,"""cf6/base_link""","[-0.00042934544035233557, -0.0002741986536420882, 0.054100584238767624]"
1555425765978332018,,81,,1555425765,977952551,"""cf6/base_link""","[0.00029854715103283525, 0.00021240889327600598, 0.054870717227458954]"
1555425765997896662,,82,,1555425765,997540466,"""cf6/base_link""","[0.00030167854856699705, -3.15635152219329e-05, 0.0545351579785347]"
1555425766020339246,,83,,1555425766,19602748,"""cf6/base_link""","[-0.00042838224908336997, -0.00027314951876178384, 0.05461369454860687]"
1555425766039840827,,84,,1555425766,39480252,"""cf6/base_link""","[6.048945215297863e-05, -0.0005187758943066001, 0.05552449822425842]"
1555425766059164046,,85,,1555425766,58789380,"""cf6/base_link""","[-0.0004261188441887498, -2.7293375751469284e-05, 0.055844806134700775]"
