rosbagTimestamp,header,seq,stamp,secs,nsecs,frame_id,values
1555425765377277744,,50,,1555425765,376898022,"""cf6/base_link""","[-0.05464182421565056, -0.12354980409145355, -0.0036823400296270847]"
1555425765396088677,,51,,1555425765,395899229,"""cf6/base_link""","[0.06637288630008698, -0.08855383843183517, -0.007006062660366297]"
1555425765426137806,,52,,1555425765,425828360,"""cf6/base_link""","[0.10798712074756622, -0.06616038829088211, -0.008555568754673004]"
1555425765440070489,,53,,1555425765,439682963,"""cf6/base_link""","[0.0826241672039032, -0.09990893304347992, -0.008855985477566719]"
1555425765455922180,,54,,1555425765,455609375,"""cf6/base_link""","[-0.002780001377686858, -0.11738631874322891, -0.005551149137318134]"
1555425765475731023,,55,,1555425765,475431387,"""cf6/base_link""","[-0.1630241423845291, -0.1666116565465927, -0.0005889414460398257]"
1555425765496471802,,56,,1555425765,496267448,"""cf6/base_link""","[-0.1255166232585907, -0.07564164698123932, -9.152305210591294e-06]"
1555425765515845244,,57,,1555425765,515624743,"""cf6/base_link""","[0.3062707483768463, -0.22442148625850677, -0.017246583476662636]"
1555425765537323362,,58,,1555425765,537092508,"""cf6/base_link""","[0.07375246286392212, -0.018144182860851288, -0.004131232388317585]"
1555425765561472560,,59,,1555425765,561221874,"""cf6/base_link""","[0.24867472052574158, -0.13997484743595123, -0.014542999677360058]"
1555425765577038291,,60,,1555425765,576768419,"""cf6/base_link""","[0.03133412078022957, -0.2797123193740845, -0.013050698675215244]"
1555425765596144778,,61,,1555425765,595905079,"""cf6/base_link""","[0.004135583993047476, -0.06759381294250488, -0.006848289631307125]"
1555425765616603232,,62,,1555425765,616308344,"""cf6/base_link""","[-0.01649143174290657, 0.049487803131341934, -0.002554892795160413]"
1555425765635868839,,63,,1555425765,635581658,"""cf6/base_link""","[0.1751265525817871, -0.011579113081097603, -0.011789172887802124]"
1555425765656927614,,64,,1555425765,656664989,"""cf6/base_link""","[0.16151617467403412, -0.04007690027356148, -0.011837185360491276]"
1555425765684931220,,65,,1555425765,684551477,"""cf6/base_link""","[0.0790814757347107, -0.05248473957180977, -0.008940938860177994]"
1555425765698993948,,66,,1555425765,698617492,"""cf6/base_link""","[0.1911502480506897, -0.28388869762420654, -0.016838407143950462]"
1555425765716734683,,67,,1555425765,716379799,"""cf6/base_link""","[0.07606431841850281, 0.04229867085814476, -0.006812950596213341]"
1555425765736981167,,68,,1555425765,736290395,"""cf6/base_link""","[0.04983967915177345, 0.049762919545173645, -0.005209503695368767]"
1555425765756211608,,69,,1555425765,755821036,"""cf6/base_link""","[0.21682728826999664, -0.10515093058347702, -0.013162428513169289]"
1555425765775791458,,70,,1555425765,775529159,"""cf6/base_link""","[0.04887010529637337, -0.08697634935379028, -0.009715336374938488]"
1555425765796372930,,71,,1555425765,795290327,"""cf6/base_link""","[0.15660540759563446, -0.17619913816452026, -0.014029378071427345]"
1555425765821905493,,72,,1555425765,821603468,"""cf6/base_link""","[0.09795282036066055, 0.05642984062433243, -0.008835378102958202]"
1555425765836034119,,73,,1555425765,835651466,"""cf6/base_link""","[0.025718865916132927, 0.0850570946931839, -0.006513530388474464]"
1555425765855716389,,74,,1555425765,855315826,"""cf6/base_link""","[0.24399793148040771, 0.0812690481543541, -0.01472044549882412]"
1555425765879319180,,75,,1555425765,878958188,"""cf6/base_link""","[0.04827181249856949, 0.039410628378391266, -0.008598596788942814]"
1555425765895647424,,76,,1555425765,895293268,"""cf6/base_link""","[0.07582531124353409, 0.015112104825675488, -0.0112641965970397]"
1555425765917018153,,77,,1555425765,916667083,"""cf6/base_link""","[0.09330390393733978, 0.019672656431794167, -0.012480161152780056]"
1555425765944608679,,78,,1555425765,944266695,"""cf6/base_link""","[0.08560182899236679, 0.006208087783306837, -0.01282997615635395]"
1555425765958511076,,79,,1555425765,958185507,"""cf6/base_link""","[0.17256270349025726, -0.0007325520855374634, -0.015575316734611988]"
1555425765976024183,,80,,1555425765,975717273,"""cf6/base_link""","[0.03782062232494354, -0.16986824572086334, -0.01484923716634512]"
1555425765995718913,,81,,1555425765,995284008,"""cf6/base_link""","[0.12857483327388763, -0.13628166913986206, -0.015454692766070366]"
1555425766017691486,,82,,1555425766,17342323,"""cf6/base_link""","[0.17681200802326202, 0.13929499685764313, -0.011901452206075191]"
1555425766037572346,,83,,1555425766,37153274,"""cf6/base_link""","[0.22182795405387878, -0.032902028411626816, -0.014647393487393856]"
1555425766056793150,,84,,1555425766,56463559,"""cf6/base_link""","[0.06679824739694595, 0.10166898369789124, -0.008727164007723331]"
